Date,Winning Numbers,Winning Numbers
"Mon, Nov 23, 1992",['\n\n03\n07\n12\n17\n25\n27\n28\n31\n35\n36\n49\n50\n51\n54\n57\n63\n68\n69\n77\n78\n\n'],   03 07 12 17 25 27 28 31 35 36 49 50 51 54 57 63 68 69 77 78   
"Sun, Nov 22, 1992",['\n\n01\n03\n07\n09\n11\n12\n20\n25\n26\n37\n42\n49\n50\n53\n56\n57\n59\n65\n68\n79\n\n'],   01 03 07 09 11 12 20 25 26 37 42 49 50 53 56 57 59 65 68 79   
"Sat, Nov 21, 1992",['\n\n04\n05\n09\n13\n17\n23\n26\n33\n35\n38\n45\n46\n48\n55\n58\n59\n61\n67\n73\n74\n\n'],   04 05 09 13 17 23 26 33 35 38 45 46 48 55 58 59 61 67 73 74   
"Fri, Nov 20, 1992",['\n\n06\n13\n16\n22\n23\n30\n36\n41\n46\n53\n57\n60\n65\n67\n70\n72\n73\n74\n75\n78\n\n'],   06 13 16 22 23 30 36 41 46 53 57 60 65 67 70 72 73 74 75 78   
"Thu, Nov 19, 1992",['\n\n07\n10\n12\n13\n16\n21\n23\n26\n29\n30\n34\n35\n37\n44\n50\n51\n60\n64\n70\n77\n\n'],   07 10 12 13 16 21 23 26 29 30 34 35 37 44 50 51 60 64 70 77   
"Wed, Nov 18, 1992",['\n\n04\n06\n07\n15\n22\n25\n27\n29\n30\n31\n32\n35\n40\n48\n52\n55\n57\n59\n71\n72\n\n'],   04 06 07 15 22 25 27 29 30 31 32 35 40 48 52 55 57 59 71 72   
"Tue, Nov 17, 1992",['\n\n01\n07\n20\n25\n27\n28\n29\n32\n33\n34\n36\n37\n41\n48\n55\n56\n57\n63\n65\n73\n\n'],   01 07 20 25 27 28 29 32 33 34 36 37 41 48 55 56 57 63 65 73   
"Mon, Nov 16, 1992",['\n\n02\n03\n04\n14\n15\n21\n26\n31\n36\n39\n40\n42\n51\n59\n60\n62\n70\n71\n75\n80\n\n'],   02 03 04 14 15 21 26 31 36 39 40 42 51 59 60 62 70 71 75 80   
"Sun, Nov 15, 1992",['\n\n01\n05\n06\n07\n13\n21\n22\n25\n29\n40\n44\n46\n52\n53\n58\n62\n64\n65\n68\n78\n\n'],   01 05 06 07 13 21 22 25 29 40 44 46 52 53 58 62 64 65 68 78   
"Sat, Nov 14, 1992",['\n\n01\n09\n11\n14\n15\n17\n19\n23\n24\n29\n36\n41\n44\n46\n50\n55\n58\n64\n65\n78\n\n'],   01 09 11 14 15 17 19 23 24 29 36 41 44 46 50 55 58 64 65 78   
"Fri, Nov 13, 1992",['\n\n12\n14\n16\n24\n26\n29\n34\n36\n38\n39\n44\n47\n49\n58\n60\n62\n69\n70\n71\n77\n\n'],   12 14 16 24 26 29 34 36 38 39 44 47 49 58 60 62 69 70 71 77   
"Thu, Nov 12, 1992",['\n\n03\n06\n07\n08\n09\n12\n21\n22\n29\n36\n43\n57\n58\n63\n67\n70\n72\n75\n76\n80\n\n'],   03 06 07 08 09 12 21 22 29 36 43 57 58 63 67 70 72 75 76 80   
"Wed, Nov 11, 1992",['\n\n08\n09\n14\n24\n26\n29\n30\n33\n34\n47\n48\n49\n51\n58\n61\n63\n64\n65\n72\n80\n\n'],   08 09 14 24 26 29 30 33 34 47 48 49 51 58 61 63 64 65 72 80   
"Tue, Nov 10, 1992",['\n\n02\n03\n06\n08\n13\n14\n24\n33\n35\n37\n38\n45\n47\n63\n66\n68\n70\n71\n76\n78\n\n'],   02 03 06 08 13 14 24 33 35 37 38 45 47 63 66 68 70 71 76 78   
"Mon, Nov 09, 1992",['\n\n07\n08\n09\n15\n18\n22\n23\n24\n28\n29\n36\n38\n41\n48\n56\n60\n62\n64\n65\n79\n\n'],   07 08 09 15 18 22 23 24 28 29 36 38 41 48 56 60 62 64 65 79   
"Sun, Nov 08, 1992",['\n\n05\n06\n18\n23\n25\n30\n32\n35\n37\n38\n40\n43\n44\n51\n55\n57\n60\n64\n78\n79\n\n'],   05 06 18 23 25 30 32 35 37 38 40 43 44 51 55 57 60 64 78 79   
"Fri, Dec 31, 1993",['\n\n02\n03\n09\n16\n19\n24\n25\n36\n39\n43\n45\n46\n48\n52\n53\n54\n55\n56\n69\n71\n\n'],   02 03 09 16 19 24 25 36 39 43 45 46 48 52 53 54 55 56 69 71   
"Thu, Dec 30, 1993",['\n\n09\n10\n16\n17\n22\n23\n27\n32\n33\n38\n46\n49\n50\n56\n58\n69\n72\n73\n75\n76\n\n'],   09 10 16 17 22 23 27 32 33 38 46 49 50 56 58 69 72 73 75 76   
"Wed, Dec 29, 1993",['\n\n04\n14\n21\n27\n29\n35\n38\n40\n42\n43\n47\n48\n49\n53\n55\n63\n67\n77\n78\n80\n\n'],   04 14 21 27 29 35 38 40 42 43 47 48 49 53 55 63 67 77 78 80   
"Tue, Dec 28, 1993",['\n\n07\n08\n09\n15\n23\n24\n28\n32\n33\n35\n38\n42\n43\n46\n48\n52\n54\n57\n66\n69\n\n'],   07 08 09 15 23 24 28 32 33 35 38 42 43 46 48 52 54 57 66 69   
"Mon, Dec 27, 1993",['\n\n06\n10\n11\n14\n20\n33\n35\n36\n44\n49\n50\n51\n53\n54\n63\n64\n66\n74\n75\n77\n\n'],   06 10 11 14 20 33 35 36 44 49 50 51 53 54 63 64 66 74 75 77   
"Sun, Dec 26, 1993",['\n\n02\n05\n11\n15\n18\n29\n30\n41\n42\n43\n45\n47\n49\n51\n56\n57\n62\n67\n73\n75\n\n'],   02 05 11 15 18 29 30 41 42 43 45 47 49 51 56 57 62 67 73 75   
"Fri, Dec 24, 1993",['\n\n05\n07\n10\n11\n14\n21\n25\n26\n35\n41\n43\n44\n45\n59\n63\n68\n70\n75\n76\n77\n\n'],   05 07 10 11 14 21 25 26 35 41 43 44 45 59 63 68 70 75 76 77   
"Thu, Dec 23, 1993",['\n\n01\n04\n05\n08\n09\n12\n15\n23\n37\n38\n41\n42\n48\n52\n64\n68\n69\n70\n75\n79\n\n'],   01 04 05 08 09 12 15 23 37 38 41 42 48 52 64 68 69 70 75 79   
"Wed, Dec 22, 1993",['\n\n08\n10\n13\n15\n19\n22\n29\n36\n39\n42\n46\n47\n48\n49\n50\n51\n66\n71\n72\n79\n\n'],   08 10 13 15 19 22 29 36 39 42 46 47 48 49 50 51 66 71 72 79   
"Tue, Dec 21, 1993",['\n\n05\n07\n16\n24\n25\n27\n28\n29\n36\n38\n41\n44\n54\n57\n58\n63\n67\n71\n77\n80\n\n'],   05 07 16 24 25 27 28 29 36 38 41 44 54 57 58 63 67 71 77 80   
"Mon, Dec 20, 1993",['\n\n05\n11\n12\n15\n17\n18\n22\n30\n38\n45\n46\n54\n56\n57\n62\n63\n64\n66\n71\n76\n\n'],   05 11 12 15 17 18 22 30 38 45 46 54 56 57 62 63 64 66 71 76   
"Sun, Dec 19, 1993",['\n\n02\n05\n06\n09\n12\n13\n15\n16\n20\n29\n34\n35\n46\n47\n50\n51\n52\n55\n67\n75\n\n'],   02 05 06 09 12 13 15 16 20 29 34 35 46 47 50 51 52 55 67 75   
"Sat, Dec 18, 1993",['\n\n05\n11\n23\n34\n40\n44\n45\n48\n49\n51\n53\n55\n64\n65\n66\n69\n71\n75\n76\n77\n\n'],   05 11 23 34 40 44 45 48 49 51 53 55 64 65 66 69 71 75 76 77   
"Fri, Dec 17, 1993",['\n\n05\n08\n09\n11\n12\n13\n14\n17\n18\n25\n27\n30\n31\n33\n44\n47\n48\n64\n77\n78\n\n'],   05 08 09 11 12 13 14 17 18 25 27 30 31 33 44 47 48 64 77 78   
"Thu, Dec 16, 1993",['\n\n01\n03\n08\n09\n14\n24\n30\n34\n37\n41\n43\n46\n47\n48\n50\n58\n63\n64\n65\n74\n\n'],   01 03 08 09 14 24 30 34 37 41 43 46 47 48 50 58 63 64 65 74   
"Wed, Dec 15, 1993",['\n\n06\n09\n11\n14\n23\n25\n27\n28\n29\n39\n44\n45\n47\n48\n56\n63\n64\n65\n71\n73\n\n'],   06 09 11 14 23 25 27 28 29 39 44 45 47 48 56 63 64 65 71 73   
"Tue, Dec 14, 1993",['\n\n08\n10\n17\n19\n23\n24\n27\n30\n35\n39\n44\n46\n55\n56\n60\n67\n68\n72\n77\n80\n\n'],   08 10 17 19 23 24 27 30 35 39 44 46 55 56 60 67 68 72 77 80   
